ID,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Name_hash
111411,F,27.0,174.0,62.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball,,dbe0ddeee04e9a2b2373af372d07ec61630d47dda3b651b16a602e92259c7748
111411,F,31.0,174.0,62.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,,dbe0ddeee04e9a2b2373af372d07ec61630d47dda3b651b16a602e92259c7748
111416,F,22.0,174.0,58.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres Hurdles,,f14099b9420e338a4f5120b771ae2ca2021744d0cfd49b3a21bf17cf11a75332
111439,F,22.0,174.0,67.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Bronze,144b63806f5776a91879ba28057c5c7d20abcbcd891dbd56fdb2c6651affe2a3
111439,F,26.0,174.0,67.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Silver,144b63806f5776a91879ba28057c5c7d20abcbcd891dbd56fdb2c6651affe2a3
111440,F,26.0,171.0,64.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,,7d40260b32cd3cb51ffdaa4ec55b37fd02f16adc760df8f659dba82c712b15ce
113002,M,19.0,181.0,78.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,56991ffc99e6fbc81948a29dd76b6e47ef97f8056b1c5636398125b5e82b78a8
113003,M,21.0,183.0,86.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Running Target, 50 metres",,d75e7f7874d19875989b839959ce26e5c074c9512f07407111f269d56f50aeb3
113003,M,25.0,183.0,86.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Running Target, 10 metres",,d75e7f7874d19875989b839959ce26e5c074c9512f07407111f269d56f50aeb3
113010,M,17.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 110 metres Hurdles,,a1e4b2b9ff30391236d45696f5fb08100f4dd9c76eccc3765ffd4d02d423b1a5
113011,M,20.0,186.0,78.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,Bronze,dffbeb3e51e826d769d4c6dca6dcd2884095d3fc6e41d1db61a5c8c4dd436dd5
113012,M,30.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,,e79f0364ed19e887a72500e19a6e5a50818df40413f5e2c46d51985e87f7d597
113012,M,30.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,,e79f0364ed19e887a72500e19a6e5a50818df40413f5e2c46d51985e87f7d597
113014,M,26.0,177.0,98.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,,625d1fae49b4f111c2dd1a0fe2fec2c6722a1acd15ca94a8968271346dfc4a61
113034,M,36.0,188.0,85.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Bronze,107d69690d166f245b5cf38d2ea04e8cd4b1b3e3297b3de6bd6190a94a41afa2
113035,M,25.0,178.0,72.0,Hungary,HUN,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Pentathlon,Silver,a2e3f5faaeb753cb8fcf4dcf97932d0b8968408f50e63dc0084d2fdf2e54d4ce
113035,M,25.0,178.0,72.0,Hungary,HUN,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Decathlon,,a2e3f5faaeb753cb8fcf4dcf97932d0b8968408f50e63dc0084d2fdf2e54d4ce
113035,M,33.0,178.0,72.0,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Individual,,a2e3f5faaeb753cb8fcf4dcf97932d0b8968408f50e63dc0084d2fdf2e54d4ce
113037,M,32.0,174.0,70.0,Hungary,HUN,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Individual",,dcea56599634c0875770ce414058621f181bb1e9ec25ba015bd11e9d56513dde
113037,M,32.0,174.0,70.0,Hungary,HUN,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Team",,dcea56599634c0875770ce414058621f181bb1e9ec25ba015bd11e9d56513dde
113037,M,36.0,174.0,70.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual",,dcea56599634c0875770ce414058621f181bb1e9ec25ba015bd11e9d56513dde
113038,M,23.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Triple Jump,,d311fd525d47939fa22f275d265daeef043ad9b9dbf1186004dda59c7f236a71
